Age,Years_of_Experience,Monthly_Working_Hours,Training_Hours_per_Year,Performance_Rating,Job_Satisfaction_Level,Promotion_in_Last_2_Years,Attrition,Department_HR,Department_Operations,Department_Sales,Department_Tech
21,29,238,10,3,2,1,0,False,False,True,False
55,33,218,45,2,3,0,0,False,True,False,False
57,31,213,20,3,3,0,0,False,False,False,False
34,28,187,41,3,2,0,0,False,False,False,True
23,8,183,31,4,1,0,0,False,False,True,False
21,1,198,31,2,2,0,0,False,False,False,False
25,6,172,6,3,2,0,0,False,True,False,False
46,4,145,21,3,2,0,0,False,False,False,True
34,7,140,13,4,3,0,0,False,False,True,False
59,31,190,12,2,2,0,0,False,False,True,False
47,17,201,20,3,2,0,0,False,False,True,False
29,17,179,21,1,1,0,0,False,False,False,True
35,15,218,33,3,3,0,1,False,False,False,False
35,20,166,9,1,2,0,0,False,False,True,False
46,9,143,0,2,1,0,0,False,True,False,False
33,3,129,0,2,1,1,0,False,False,True,False
52,7,239,23,3,1,0,0,False,False,False,False
59,18,207,2,3,1,0,0,False,False,False,True
52,8,223,30,4,2,0,0,False,False,True,False
24,29,243,42,2,1,1,0,False,False,True,False
50,16,153,40,1,3,0,0,False,True,False,False
57,14,160,12,3,3,1,1,False,True,False,False
43,3,130,3,4,2,0,1,False,False,True,False
59,5,120,22,3,2,1,0,False,False,True,False
35,15,201,5,3,2,0,0,False,True,False,False
49,25,145,33,4,1,0,1,False,False,False,False
56,22,172,40,3,1,0,0,True,False,False,False
33,12,244,17,3,2,0,0,True,False,False,False
52,16,128,35,2,3,0,1,False,False,True,False
27,26,128,25,1,3,0,0,False,True,False,False
42,21,248,32,5,3,0,0,False,False,False,True
48,18,178,32,3,2,0,0,False,False,False,True
22,34,225,24,3,3,1,0,True,False,False,False
26,12,244,16,5,2,0,0,False,False,False,False
48,13,135,2,4,1,0,0,True,False,False,False
48,30,157,21,3,2,0,0,False,False,True,False
40,1,178,48,4,3,0,0,False,False,False,False
50,13,148,34,4,1,0,0,False,False,False,True
31,8,127,3,4,1,0,0,False,True,False,False
48,9,217,27,1,1,0,0,False,True,False,False
45,6,228,12,3,1,0,1,False,False,True,False
59,27,227,29,3,1,0,1,True,False,False,False
53,24,176,46,1,2,0,0,False,False,True,False
21,27,195,11,3,3,0,0,False,True,False,False
47,1,232,2,3,3,0,0,False,False,False,True
33,16,125,20,2,3,0,0,False,True,False,False
23,3,243,39,3,1,0,0,False,False,False,False
59,12,172,0,3,1,0,0,False,True,False,False
26,17,128,17,3,1,1,0,False,True,False,False
28,2,188,12,4,3,0,0,False,False,False,False
47,32,193,6,4,1,0,0,True,False,False,False
29,23,230,12,5,2,0,1,False,True,False,False
57,7,206,16,3,1,0,0,False,False,True,False
53,34,123,44,4,1,0,0,False,True,False,False
44,1,156,31,4,1,0,0,False,False,True,False
35,32,190,28,4,2,0,1,False,False,False,False
52,11,125,44,4,1,0,1,False,True,False,False
52,21,170,29,3,1,0,0,False,False,False,False
44,12,218,10,3,2,0,0,False,False,False,False
32,9,215,13,4,2,0,0,True,False,False,False
59,16,130,9,4,2,0,0,False,True,False,False
22,4,129,7,4,3,0,0,False,False,True,False
23,8,132,30,2,2,0,0,False,False,True,False
57,12,240,5,3,1,0,1,False,True,False,False
37,22,179,18,3,2,0,1,True,False,False,False
22,29,124,18,4,2,0,0,True,False,False,False
22,3,131,11,4,2,0,0,True,False,False,False
48,20,204,38,3,3,0,0,False,False,True,False
43,8,236,49,4,3,0,0,False,False,False,False
57,6,241,17,1,2,0,1,True,False,False,False
52,15,160,2,3,1,0,0,False,False,True,False
53,22,167,8,3,3,1,0,False,False,True,False
21,22,170,5,4,2,0,1,False,False,False,False
39,30,237,0,4,2,0,0,False,True,False,False
22,4,215,41,3,3,0,0,False,True,False,False
46,5,195,39,3,2,1,1,True,False,False,False
52,0,165,28,3,2,0,0,True,False,False,False
26,27,219,48,3,2,0,0,False,False,False,False
52,17,157,34,5,1,0,0,True,False,False,False
24,23,211,34,4,2,0,0,False,False,False,False
31,12,249,29,3,2,0,0,False,False,True,False
37,32,212,34,3,1,0,1,True,False,False,False
58,9,196,38,2,2,0,0,False,False,True,False
44,6,132,21,3,2,0,0,False,False,False,True
25,31,176,42,4,2,1,1,False,False,False,False
54,21,235,27,1,3,0,1,False,False,False,True
26,15,214,17,4,1,0,0,True,False,False,False
42,23,249,31,3,2,0,0,False,False,True,False
31,13,198,4,5,2,0,0,True,False,False,False
36,10,176,33,1,2,0,0,False,False,False,True
53,18,214,30,4,3,0,0,True,False,False,False
29,22,176,45,4,1,0,0,False,True,False,False
26,33,226,32,2,2,0,0,False,False,False,True
36,12,198,3,3,2,0,0,True,False,False,False
49,27,133,13,4,2,0,0,False,False,True,False
23,15,146,14,3,2,0,0,True,False,False,False
40,27,157,19,3,2,0,0,False,False,True,False
56,3,246,19,5,1,0,0,False,True,False,False
39,27,123,48,1,2,0,0,True,False,False,False
46,11,177,34,3,2,0,0,False,True,False,False
23,15,232,3,4,2,0,0,False,False,False,True
39,19,123,17,3,2,0,0,False,False,True,False
40,25,171,23,3,2,0,0,False,False,False,True
52,25,218,26,3,1,0,0,False,False,True,False
27,21,212,32,4,1,0,0,False,True,False,False
53,8,236,24,3,1,0,0,False,False,False,False
59,4,123,4,4,3,0,0,True,False,False,False
38,16,204,17,3,3,1,0,False,True,False,False
21,33,126,44,4,3,1,0,False,False,True,False
31,1,244,45,3,3,0,0,False,False,True,False
48,6,204,19,5,1,0,0,False,False,True,False
45,12,182,34,1,2,0,0,False,False,True,False
43,19,242,5,3,3,0,0,True,False,False,False
51,29,208,26,2,2,1,0,False,False,False,True
50,29,214,27,3,1,0,0,False,False,False,False
55,10,238,10,2,2,0,0,True,False,False,False
27,30,163,8,4,1,0,0,False,False,True,False
36,2,221,27,4,1,0,1,True,False,False,False
46,1,164,18,2,2,0,1,False,True,False,False
22,2,236,38,2,3,0,0,False,False,True,False
21,14,170,20,4,2,0,0,False,False,False,False
32,16,184,30,3,2,0,0,False,False,True,False
25,6,173,41,3,2,0,0,False,False,False,False
57,4,191,6,2,3,0,0,False,False,False,False
52,33,239,36,3,1,0,0,False,False,False,True
29,32,138,24,2,2,0,0,False,False,False,True
55,15,129,27,4,1,0,1,True,False,False,False
39,2,135,35,3,2,1,0,True,False,False,False
36,20,227,16,4,1,0,0,False,False,False,False
23,7,135,25,3,3,0,0,False,False,True,False
40,21,199,27,3,1,0,0,False,True,False,False
44,4,147,36,3,1,0,0,False,True,False,False
53,16,128,16,5,2,0,0,False,False,True,False
44,13,223,48,3,2,0,0,False,False,True,False
31,27,164,16,2,2,1,1,False,False,False,True
28,30,228,32,3,1,0,0,False,True,False,False
56,16,149,33,1,1,1,0,False,False,False,False
58,34,167,22,1,2,0,0,True,False,False,False
40,21,210,29,3,2,0,1,False,False,False,True
55,28,210,26,3,3,0,1,False,True,False,False
45,9,193,8,5,2,0,0,False,False,True,False
55,17,163,19,2,2,1,1,False,True,False,False
45,34,236,22,4,2,0,0,False,False,False,False
49,15,143,46,3,2,0,1,False,False,False,True
38,6,126,18,2,3,0,0,False,False,True,False
38,29,125,36,5,1,0,1,False,False,False,False
22,18,237,44,4,2,0,0,True,False,False,False
55,22,204,3,3,2,0,1,False,False,False,True
36,7,229,12,4,2,0,1,False,False,False,False
56,16,150,37,5,2,0,0,False,False,False,False
53,20,183,11,3,1,0,1,False,False,True,False
24,25,195,8,2,1,0,1,True,False,False,False
53,27,175,14,1,1,0,1,False,False,False,False
34,32,182,20,4,3,1,1,False,False,False,True
41,18,224,14,4,3,1,0,False,False,False,False
40,28,157,48,4,1,0,0,False,True,False,False
28,19,173,4,2,1,0,0,False,False,False,True
27,19,249,4,5,1,0,0,False,False,False,True
23,9,121,24,3,1,0,1,False,False,False,False
37,11,159,23,3,2,0,0,False,False,True,False
53,32,121,36,1,1,0,1,False,False,False,True
32,24,224,30,5,2,0,0,False,True,False,False
42,24,244,45,3,2,0,1,False,False,True,False
42,3,199,33,3,1,1,0,False,False,True,False
50,3,166,40,5,2,0,0,False,False,True,False
58,8,210,13,5,2,0,0,False,False,False,True
58,14,220,26,2,1,0,0,False,False,True,False
28,25,249,46,5,2,1,0,False,False,False,False
47,14,134,3,4,1,0,1,False,False,True,False
47,25,168,22,1,1,0,0,False,True,False,False
54,27,231,37,2,1,0,0,True,False,False,False
41,6,154,45,3,3,0,0,False,True,False,False
50,31,235,4,3,2,0,0,False,False,False,True
53,11,213,26,4,2,0,0,False,False,True,False
48,34,143,42,2,3,0,0,False,False,True,False
53,31,179,13,4,1,0,0,False,False,False,False
25,8,196,6,4,3,0,0,False,False,True,False
39,13,167,45,3,2,0,0,False,True,False,False
24,12,160,44,5,2,0,1,False,False,False,True
55,32,247,17,4,2,0,0,True,False,False,False
37,31,150,31,2,2,0,1,False,False,True,False
48,18,143,1,4,3,0,0,True,False,False,False
50,29,128,40,5,3,1,0,False,False,True,False
49,15,196,42,2,1,0,0,False,False,False,True
26,11,239,19,5,1,0,1,False,True,False,False
55,9,209,28,1,1,1,0,False,False,False,True
57,1,236,42,3,1,0,0,True,False,False,False
44,17,229,25,4,2,0,0,False,False,True,False
49,12,240,37,4,1,0,0,True,False,False,False
51,28,217,0,4,2,0,1,False,True,False,False
55,23,134,4,3,2,0,0,False,False,False,True
53,11,171,13,4,3,0,0,True,False,False,False
41,28,174,24,4,1,0,1,True,False,False,False
52,21,156,47,3,1,0,0,False,True,False,False
43,0,174,8,3,1,0,0,False,False,True,False
53,33,131,29,4,3,0,1,True,False,False,False
23,33,156,18,3,2,1,0,False,True,False,False
38,32,126,39,3,3,0,1,False,False,True,False
45,3,174,7,1,3,0,0,False,False,True,False
51,29,147,15,4,3,0,0,False,False,False,True
23,19,156,49,2,1,0,1,False,True,False,False
44,25,194,7,3,2,0,0,False,False,True,False
52,14,233,22,2,3,0,0,False,False,False,True
42,6,225,8,1,1,0,0,False,False,False,False
43,6,229,31,3,2,0,0,False,True,False,False
22,28,203,36,3,2,0,0,False,False,False,False
47,22,130,33,3,2,0,0,False,False,True,False
22,33,185,45,2,3,0,0,False,True,False,False
46,19,132,17,5,2,0,1,False,False,False,True
37,14,134,44,1,2,0,1,False,False,True,False
53,32,175,43,4,2,0,1,False,True,False,False
29,16,172,14,4,2,0,1,False,True,False,False
59,19,180,14,2,2,0,1,False,False,False,False
49,12,247,28,3,3,1,1,False,False,True,False
46,23,161,22,5,3,0,1,False,False,False,True
55,6,148,22,3,2,0,0,False,False,False,True
45,7,163,0,2,2,0,1,False,False,True,False
44,22,232,21,3,1,1,1,False,False,True,False
33,13,225,6,3,1,0,0,True,False,False,False
27,3,157,44,4,1,0,0,False,False,False,False
56,20,234,31,5,2,1,0,False,False,True,False
40,9,249,27,1,1,0,0,False,False,True,False
21,21,228,49,3,1,0,0,True,False,False,False
28,29,203,31,3,1,0,0,True,False,False,False
36,29,165,32,5,2,0,0,False,True,False,False
34,15,211,42,3,1,0,0,False,False,False,True
32,10,224,12,4,2,0,1,False,False,False,False
43,21,191,27,3,2,0,0,False,True,False,False
35,28,148,8,4,2,0,0,False,False,True,False
48,24,166,47,3,3,0,0,True,False,False,False
54,13,230,42,5,1,0,0,False,False,False,True
22,13,126,2,3,3,0,0,False,True,False,False
52,1,236,16,4,2,0,1,False,False,False,True
43,12,183,33,3,1,0,0,True,False,False,False
42,2,201,31,4,2,1,0,False,True,False,False
45,29,183,8,3,3,0,0,False,True,False,False
42,17,211,40,1,2,0,1,False,False,False,True
42,20,131,47,3,1,0,0,True,False,False,False
26,18,131,0,3,3,0,0,False,False,True,False
35,15,155,48,2,2,0,0,False,True,False,False
57,27,148,41,2,2,0,0,False,False,True,False
53,3,204,19,3,3,0,0,True,False,False,False
28,14,193,4,3,2,0,0,False,True,False,False
25,0,166,39,3,1,0,0,False,True,False,False
59,15,200,44,3,2,0,0,False,False,True,False
24,19,240,20,2,3,0,1,False,False,False,False
26,32,162,4,2,1,0,0,False,False,True,False
52,16,193,3,4,1,0,0,False,False,True,False
50,4,172,7,2,1,0,0,False,False,False,False
55,4,158,24,4,1,1,1,True,False,False,False
36,12,226,6,3,1,0,0,True,False,False,False
33,29,156,36,5,3,1,0,False,True,False,False
50,3,216,41,1,3,1,0,False,False,False,True
39,22,168,31,4,1,0,0,False,False,False,True
37,20,247,16,3,2,0,0,False,True,False,False
39,20,129,27,1,2,1,0,False,False,False,True
48,5,159,5,3,1,0,0,False,False,True,False
46,23,225,41,3,1,0,1,False,False,True,False
57,30,160,47,3,1,0,0,False,False,False,False
46,18,121,41,3,2,0,0,False,False,False,False
43,11,172,35,5,2,0,0,False,True,False,False
29,13,145,1,3,1,0,0,False,True,False,False
32,11,173,30,3,1,0,0,False,True,False,False
21,14,170,0,4,3,0,0,False,False,True,False
21,18,233,2,4,2,0,0,False,False,False,True
54,27,136,12,1,2,0,0,False,True,False,False
52,4,239,30,4,3,0,0,False,True,False,False
45,4,165,28,3,1,0,0,False,False,True,False
21,5,174,43,2,2,1,0,False,False,True,False
36,22,169,32,3,2,0,1,False,False,True,False
59,2,194,9,1,2,0,0,False,False,False,True
25,32,130,37,3,3,0,1,False,True,False,False
42,20,167,8,3,2,1,0,True,False,False,False
49,19,240,0,3,1,0,1,True,False,False,False
23,0,175,43,3,1,0,0,False,True,False,False
32,16,127,36,4,2,0,0,False,True,False,False
46,28,133,31,3,2,0,0,False,True,False,False
36,7,233,32,4,1,0,0,False,True,False,False
57,25,173,1,4,2,0,0,False,False,False,True
42,27,136,45,4,3,0,0,True,False,False,False
49,33,128,1,4,1,0,0,False,False,False,False
34,25,241,4,2,3,0,1,True,False,False,False
48,12,233,9,3,1,0,0,True,False,False,False
25,12,139,37,3,2,0,0,False,False,True,False
50,24,202,36,3,2,0,0,False,True,False,False
25,22,140,1,2,2,0,0,False,True,False,False
32,21,152,40,3,1,0,0,False,True,False,False
36,20,145,41,5,3,1,0,False,False,True,False
46,29,227,39,3,1,0,0,False,False,False,True
46,10,208,24,3,2,0,0,False,False,False,True
41,3,211,37,1,2,0,1,False,False,False,False
59,32,152,36,4,2,0,0,False,False,False,True
56,11,137,17,3,2,0,0,False,False,False,True
53,8,137,26,2,2,0,0,False,True,False,False
50,31,152,19,5,1,0,0,True,False,False,False
57,10,146,49,4,2,0,0,False,False,False,True
43,23,168,33,4,1,0,0,False,False,False,True
30,6,227,43,5,1,1,0,False,False,True,False
25,7,187,7,3,2,0,0,False,False,False,False
56,32,218,3,4,2,0,0,False,False,True,False
54,24,138,29,2,1,0,0,False,True,False,False
51,0,144,35,4,2,0,0,True,False,False,False
30,2,223,8,1,2,0,0,False,False,False,False
39,27,195,40,2,2,0,1,False,False,True,False
52,32,195,11,3,2,0,0,False,False,False,True
21,0,225,13,1,3,0,0,False,False,False,True
25,26,152,34,3,2,0,1,False,False,False,False
24,34,156,5,3,2,0,0,False,False,False,True
36,9,211,46,3,1,0,1,False,False,True,False
44,11,243,22,2,2,0,0,False,False,True,False
36,9,162,3,2,2,1,1,False,False,False,True
22,33,245,0,3,2,0,0,False,False,False,True
48,23,128,8,4,3,0,0,False,True,False,False
52,27,133,47,1,1,1,1,True,False,False,False
47,21,188,8,3,2,0,0,False,False,False,False
40,15,145,43,4,1,0,0,False,False,True,False
44,12,246,45,1,2,0,0,False,False,False,False
32,22,172,14,3,3,0,0,False,True,False,False
55,13,160,23,3,2,0,0,False,False,True,False
53,31,201,47,5,2,0,0,False,True,False,False
53,2,221,7,2,2,0,0,False,True,False,False
57,26,140,27,3,1,0,0,False,False,False,True
32,18,240,41,4,1,0,0,False,False,False,False
23,21,158,45,3,2,0,0,False,False,False,False
21,0,188,16,3,2,1,0,False,False,False,True
53,4,194,34,1,2,0,0,False,False,False,False
30,32,181,30,5,1,0,0,False,False,False,True
49,18,164,3,4,2,0,0,False,False,True,False
33,5,146,47,3,3,0,0,False,True,False,False
32,14,235,13,1,1,0,1,False,True,False,False
51,32,160,24,1,2,0,0,False,False,False,False
22,23,225,45,3,2,0,0,True,False,False,False
55,26,193,47,3,3,0,0,False,True,False,False
43,10,179,39,3,2,0,0,False,False,False,True
37,22,161,49,3,2,0,0,True,False,False,False
46,32,241,6,4,2,0,0,True,False,False,False
28,28,130,30,3,1,0,0,False,True,False,False
49,30,237,34,3,2,1,1,False,True,False,False
46,0,184,37,4,2,0,1,False,True,False,False
30,33,166,19,3,2,0,0,False,False,False,True
46,17,133,15,4,1,0,0,True,False,False,False
54,17,186,21,2,1,1,0,False,False,False,False
27,5,228,35,4,1,0,0,False,False,False,True
24,0,129,18,5,2,0,0,False,False,True,False
31,29,243,1,3,3,0,0,False,True,False,False
49,3,136,3,3,1,0,0,True,False,False,False
56,31,216,33,1,1,0,0,False,False,False,True
45,9,176,6,3,3,1,0,False,False,True,False
41,4,190,46,3,2,1,0,False,False,False,True
56,8,216,48,1,3,0,1,False,False,False,True
30,4,136,13,4,1,0,0,False,False,False,False
57,10,195,42,4,3,1,0,False,False,False,False
29,34,136,31,5,3,0,0,False,False,False,True
44,26,230,16,3,1,0,0,False,False,True,False
55,3,239,36,3,1,0,0,True,False,False,False
55,9,238,13,4,1,0,1,True,False,False,False
56,32,197,16,3,1,0,0,False,True,False,False
38,7,122,31,4,3,0,0,False,True,False,False
59,23,227,1,3,2,0,0,True,False,False,False
52,32,170,38,3,2,0,0,False,False,False,True
44,18,233,3,1,3,0,1,False,False,False,True
43,1,213,39,1,2,0,0,False,False,False,False
52,10,235,29,3,2,0,0,False,False,False,False
57,34,224,29,3,1,0,0,False,True,False,False
32,16,218,32,4,2,0,0,True,False,False,False
33,2,195,41,3,3,0,0,False,False,False,True
43,21,200,0,3,1,0,0,True,False,False,False
45,34,191,32,3,2,0,0,False,False,True,False
55,20,230,35,2,2,0,1,True,False,False,False
50,24,177,48,1,2,0,0,False,False,True,False
37,1,197,30,2,2,0,0,False,False,False,False
40,0,167,36,3,3,1,0,False,False,False,False
45,6,175,13,1,1,0,1,False,True,False,False
42,19,161,5,2,2,0,0,True,False,False,False
33,5,143,6,4,3,0,0,True,False,False,False
39,20,229,39,2,1,0,0,False,False,True,False
56,34,171,23,2,2,0,0,False,False,False,False
32,7,153,49,5,2,0,0,False,False,True,False
39,3,122,3,3,1,0,0,False,False,False,False
32,15,187,24,1,2,1,0,False,False,True,False
29,2,169,2,1,2,0,0,False,False,False,False
27,6,201,27,3,3,0,0,False,False,True,False
48,1,138,22,3,2,0,0,False,False,False,False
34,0,163,35,1,3,0,0,False,False,True,False
51,0,122,47,2,1,0,0,True,False,False,False
39,6,232,12,5,1,0,0,False,True,False,False
36,23,184,21,3,3,0,0,False,False,True,False
25,4,158,24,3,3,0,0,False,True,False,False
55,20,183,42,3,1,0,0,True,False,False,False
32,27,223,23,2,2,0,0,True,False,False,False
45,17,132,42,3,2,0,0,False,False,False,False
41,23,187,36,5,2,0,0,False,True,False,False
56,31,189,32,1,3,0,0,False,False,False,True
43,32,194,13,5,2,0,1,False,False,False,False
36,9,120,23,2,1,1,0,False,True,False,False
59,8,217,21,3,2,0,1,False,False,True,False
59,32,223,36,1,1,0,1,False,False,True,False
34,32,235,22,3,2,0,0,True,False,False,False
51,6,232,5,3,2,0,0,False,False,False,True
25,3,222,18,4,3,0,0,False,False,True,False
55,27,156,11,3,3,0,0,False,True,False,False
43,22,225,25,3,1,0,0,False,True,False,False
49,31,227,28,4,2,0,0,False,False,True,False
31,15,140,13,1,2,0,0,False,True,False,False
38,9,248,16,3,1,0,0,False,True,False,False
32,13,147,29,2,2,0,1,True,False,False,False
29,33,227,6,3,3,0,1,False,False,False,True
30,23,128,20,4,2,0,0,True,False,False,False
37,17,151,0,2,2,0,1,False,False,False,True
58,15,185,48,5,2,0,1,False,True,False,False
27,24,219,37,4,2,0,1,False,False,False,True
33,7,140,3,3,2,1,0,False,True,False,False
29,23,201,45,1,3,0,0,False,True,False,False
47,19,143,7,4,1,0,0,True,False,False,False
22,29,230,17,4,1,0,0,True,False,False,False
25,19,211,44,2,2,0,0,False,False,False,False
49,17,131,7,5,2,0,0,False,False,True,False
57,3,142,30,5,2,0,0,False,False,False,False
58,5,211,30,3,1,0,0,False,False,False,False
39,2,242,27,4,2,0,0,False,False,False,True
28,17,153,47,3,2,1,0,False,True,False,False
21,17,244,36,3,1,0,0,False,True,False,False
42,22,176,2,3,2,1,0,False,True,False,False
37,34,122,44,2,1,0,0,False,False,True,False
27,5,125,14,4,1,0,1,False,False,False,True
45,25,167,3,1,2,0,0,False,False,False,True
24,20,221,34,3,2,1,0,False,True,False,False
56,23,239,33,4,2,0,1,False,False,False,False
26,14,132,35,2,2,0,0,False,False,True,False
51,26,155,5,3,1,0,0,False,False,False,False
39,31,189,3,3,2,0,0,True,False,False,False
59,11,152,48,2,2,0,0,False,False,False,True
47,4,224,29,4,1,0,0,False,False,False,True
30,6,176,38,3,2,0,0,False,False,False,False
46,21,174,17,3,1,0,0,False,False,True,False
39,26,226,21,2,1,1,0,False,False,False,True
59,14,170,9,1,2,0,0,False,False,False,False
23,34,211,48,2,2,0,0,False,False,True,False
33,25,172,28,1,2,0,0,False,False,False,False
48,22,155,22,3,2,0,1,False,False,True,False
40,12,238,3,3,1,0,1,False,True,False,False
48,25,144,18,1,2,0,0,False,False,True,False
28,2,200,25,1,2,0,0,True,False,False,False
59,28,156,6,3,2,1,0,False,True,False,False
21,1,138,12,4,3,0,1,False,False,False,False
23,27,154,2,3,1,0,0,False,True,False,False
33,22,226,39,2,3,0,0,False,True,False,False
48,5,173,10,4,2,0,0,False,False,False,False
45,10,125,15,5,2,0,0,False,False,False,False
53,33,248,19,3,3,1,0,True,False,False,False
58,16,153,22,3,2,0,1,False,False,False,False
26,2,175,22,3,1,0,0,False,False,False,True
52,33,216,31,5,2,0,1,False,False,False,True
41,21,145,40,3,2,0,1,True,False,False,False
36,28,210,41,5,2,0,0,False,False,True,False
41,28,157,37,2,2,0,0,False,False,True,False
31,4,178,2,3,2,0,0,False,False,False,True
57,9,246,7,4,1,0,1,False,False,False,False
56,9,143,37,4,2,0,1,True,False,False,False
55,8,230,39,4,1,0,0,False,False,True,False
39,20,140,13,4,2,0,1,False,False,True,False
40,12,179,7,4,2,0,0,False,True,False,False
38,9,209,10,3,2,0,1,False,False,False,True
34,10,125,41,3,2,0,0,False,False,False,False
35,3,129,41,3,1,0,0,True,False,False,False
51,30,216,42,3,3,0,0,False,False,True,False
21,33,199,32,3,2,0,0,False,True,False,False
23,34,136,14,3,2,1,0,False,False,False,True
36,32,202,36,2,3,0,0,False,False,False,True
43,7,159,13,2,3,0,0,True,False,False,False
