Employee_ID,Age,Department,Years_of_Experience,Monthly_Working_Hours,Training_Hours_per_Year,Performance_Rating,Job_Satisfaction_Level,Promotion_in_Last_2_Years,Attrition
E1073,35,Sales,29,132,14,4,Low,No,No
E1074,21,Tech,4,178,11,3,High,Yes,No
E1075,45,Tech,0,151,39,2,Low,No,No
E1076,27,Operations,0,202,43,4,Medium,No,No
E1077,29,Tech,19,239,40,1,Medium,No,No
E1078,44,Operations,10,173,6,5,Low,No,No
E1079,21,Sales,25,121,21,4,Medium,Yes,No
E1080,28,Sales,2,237,7,4,Medium,No,Yes
E1081,44,Finance,5,156,41,5,Medium,No,No
E1082,31,Operations,10,216,10,3,Low,No,No
E1083,37,Operations,7,222,1,1,Medium,No,No
E1084,28,HR,28,233,29,3,High,Yes,Yes
E1085,55,HR,9,120,3,3,Medium,No,No
E1086,55,Finance,33,247,24,3,Medium,No,No
E1087,53,Sales,23,222,20,3,Low,Yes,No
E1088,25,HR,16,176,24,4,Medium,No,No
E1089,59,Tech,31,189,8,3,Medium,No,No
E1090,48,Sales,10,163,7,3,Medium,No,No
E1091,27,Tech,33,195,4,3,Low,No,No
E1092,29,Operations,23,204,45,3,Low,No,No
E1093,28,Sales,4,185,27,2,Medium,No,No
E1094,32,Finance,28,172,1,3,Low,No,No
E1095,54,Operations,33,137,20,4,Medium,Yes,No
E1096,53,Operations,15,147,48,3,Medium,No,No
E1097,43,Tech,24,161,7,1,High,No,No
E1098,44,Operations,7,245,33,3,Low,No,No
E1099,57,HR,28,236,22,3,Low,No,No
E1100,55,Sales,24,221,14,4,Medium,No,No
E1101,42,HR,22,157,26,5,Low,No,No
E1102,47,Tech,33,169,1,4,Low,No,No
E1103,55,Tech,2,179,27,3,Medium,No,Yes
E1104,21,Sales,29,238,10,3,Medium,Yes,No
E1105,55,Operations,33,218,45,2,High,No,No
E1106,57,Finance,31,213,20,3,High,No,No
E1107,34,Tech,28,187,41,3,Medium,No,No
E1108,23,Sales,8,183,31,4,Low,No,No
E1109,21,Finance,1,198,31,2,Medium,No,No
E1110,25,Operations,6,172,6,3,Medium,No,No
E1111,46,Tech,4,145,21,3,Medium,No,No
E1112,34,Sales,7,140,13,4,High,No,No
E1113,59,Sales,31,190,12,2,Medium,No,No
E1114,47,Sales,17,201,20,3,Medium,No,No
E1115,29,Tech,17,179,21,1,Low,No,No
E1116,35,Finance,15,218,33,3,High,No,Yes
E1117,35,Sales,20,166,9,1,Medium,No,No
E1118,46,Operations,9,143,0,2,Low,No,No
E1119,33,Sales,3,129,0,2,Low,Yes,No
E1120,52,Finance,7,239,23,3,Low,No,No
E1121,59,Tech,18,207,2,3,Low,No,No
E1122,52,Sales,8,223,30,4,Medium,No,No
E1123,24,Sales,29,243,42,2,Low,Yes,No
E1124,50,Operations,16,153,40,1,High,No,No
E1125,57,Operations,14,160,12,3,High,Yes,Yes
E1126,43,Sales,3,130,3,4,Medium,No,Yes
E1127,59,Sales,5,120,22,3,Medium,Yes,No
E1128,35,Operations,15,201,5,3,Medium,No,No
E1129,49,Finance,25,145,33,4,Low,No,Yes
E1130,56,HR,22,172,40,3,Low,No,No
E1131,33,HR,12,244,17,3,Medium,No,No
E1132,52,Sales,16,128,35,2,High,No,Yes
E1133,27,Operations,26,128,25,1,High,No,No
E1134,42,Tech,21,248,32,5,High,No,No
E1135,48,Tech,18,178,32,3,Medium,No,No
E1136,22,HR,34,225,24,3,High,Yes,No
E1137,26,Finance,12,244,16,5,Medium,No,No
E1138,48,HR,13,135,2,4,Low,No,No
E1139,48,Sales,30,157,21,3,Medium,No,No
E1140,40,Finance,1,178,48,4,High,No,No
E1141,50,Tech,13,148,34,4,Low,No,No
E1142,31,Operations,8,127,3,4,Low,No,No
E1143,48,Operations,9,217,27,1,Low,No,No
E1144,45,Sales,6,228,12,3,Low,No,Yes
E1145,59,HR,27,227,29,3,Low,No,Yes
E1146,53,Sales,24,176,46,1,Medium,No,No
E1147,21,Operations,27,195,11,3,High,No,No
E1148,47,Tech,1,232,2,3,High,No,No
E1149,33,Operations,16,125,20,2,High,No,No
E1150,23,Finance,3,243,39,3,Low,No,No
E1151,59,Operations,12,172,0,3,Low,No,No
E1152,26,Operations,17,128,17,3,Low,Yes,No
E1153,28,Finance,2,188,12,4,High,No,No
E1154,47,HR,32,193,6,4,Low,No,No
E1155,29,Operations,23,230,12,5,Medium,No,Yes
E1156,57,Sales,7,206,16,3,Low,No,No
E1157,53,Operations,34,123,44,4,Low,No,No
E1158,44,Sales,1,156,31,4,Low,No,No
E1159,35,Finance,32,190,28,4,Medium,No,Yes
E1160,52,Operations,11,125,44,4,Low,No,Yes
E1161,52,Finance,21,170,29,3,Low,No,No
E1162,44,Finance,12,218,10,3,Medium,No,No
E1163,32,HR,9,215,13,4,Medium,No,No
E1164,59,Operations,16,130,9,4,Medium,No,No
E1165,22,Sales,4,129,7,4,High,No,No
E1166,23,Sales,8,132,30,2,Medium,No,No
E1167,57,Operations,12,240,5,3,Low,No,Yes
E1168,37,HR,22,179,18,3,Medium,No,Yes
E1169,22,HR,29,124,18,4,Medium,No,No
E1170,22,HR,3,131,11,4,Medium,No,No
E1171,48,Sales,20,204,38,3,High,No,No
E1172,43,Finance,8,236,49,4,High,No,No
E1173,57,HR,6,241,17,1,Medium,No,Yes
E1174,52,Sales,15,160,2,3,Low,No,No
E1175,53,Sales,22,167,8,3,High,Yes,No
E1176,21,Finance,22,170,5,4,Medium,No,Yes
E1177,39,Operations,30,237,0,4,Medium,No,No
E1178,22,Operations,4,215,41,3,High,No,No
E1179,46,HR,5,195,39,3,Medium,Yes,Yes
E1180,52,HR,0,165,28,3,Medium,No,No
E1181,26,Finance,27,219,48,3,Medium,No,No
E1182,52,HR,17,157,34,5,Low,No,No
E1183,24,Finance,23,211,34,4,Medium,No,No
E1184,31,Sales,12,249,29,3,Medium,No,No
E1185,37,HR,32,212,34,3,Low,No,Yes
E1186,58,Sales,9,196,38,2,Medium,No,No
E1187,44,Tech,6,132,21,3,Medium,No,No
E1188,25,Finance,31,176,42,4,Medium,Yes,Yes
E1189,54,Tech,21,235,27,1,High,No,Yes
E1190,26,HR,15,214,17,4,Low,No,No
E1191,42,Sales,23,249,31,3,Medium,No,No
E1192,31,HR,13,198,4,5,Medium,No,No
E1193,36,Tech,10,176,33,1,Medium,No,No
E1194,53,HR,18,214,30,4,High,No,No
E1195,29,Operations,22,176,45,4,Low,No,No
E1196,26,Tech,33,226,32,2,Medium,No,No
E1197,36,HR,12,198,3,3,Medium,No,No
E1198,49,Sales,27,133,13,4,Medium,No,No
E1199,23,HR,15,146,14,3,Medium,No,No
E1200,40,Sales,27,157,19,3,Medium,No,No
E1201,56,Operations,3,246,19,5,Low,No,No
E1202,39,HR,27,123,48,1,Medium,No,No
E1203,46,Operations,11,177,34,3,Medium,No,No
E1204,23,Tech,15,232,3,4,Medium,No,No
E1205,39,Sales,19,123,17,3,Medium,No,No
E1206,40,Tech,25,171,23,3,Medium,No,No
E1207,52,Sales,25,218,26,3,Low,No,No
E1208,27,Operations,21,212,32,4,Low,No,No
E1209,53,Finance,8,236,24,3,Low,No,No
E1210,59,HR,4,123,4,4,High,No,No
E1211,38,Operations,16,204,17,3,High,Yes,No
E1212,21,Sales,33,126,44,4,High,Yes,No
E1213,31,Sales,1,244,45,3,High,No,No
E1214,48,Sales,6,204,19,5,Low,No,No
E1215,45,Sales,12,182,34,1,Medium,No,No
E1216,43,HR,19,242,5,3,High,No,No
E1217,51,Tech,29,208,26,2,Medium,Yes,No
E1218,50,Finance,29,214,27,3,Low,No,No
E1219,55,HR,10,238,10,2,Medium,No,No
E1220,27,Sales,30,163,8,4,Low,No,No
E1221,36,HR,2,221,27,4,Low,No,Yes
E1222,46,Operations,1,164,18,2,Medium,No,Yes
E1223,22,Sales,2,236,38,2,High,No,No
E1224,21,Finance,14,170,20,4,Medium,No,No
E1225,32,Sales,16,184,30,3,Medium,No,No
E1226,25,Finance,6,173,41,3,Medium,No,No
E1227,57,Finance,4,191,6,2,High,No,No
E1228,52,Tech,33,239,36,3,Low,No,No
E1229,29,Tech,32,138,24,2,Medium,No,No
E1230,55,HR,15,129,27,4,Low,No,Yes
E1231,39,HR,2,135,35,3,Medium,Yes,No
E1232,36,Finance,20,227,16,4,Low,No,No
E1233,23,Sales,7,135,25,3,High,No,No
E1234,40,Operations,21,199,27,3,Low,No,No
E1235,44,Operations,4,147,36,3,Low,No,No
E1236,53,Sales,16,128,16,5,Medium,No,No
E1237,44,Sales,13,223,48,3,Medium,No,No
E1238,31,Tech,27,164,16,2,Medium,Yes,Yes
E1239,28,Operations,30,228,32,3,Low,No,No
E1240,56,Finance,16,149,33,1,Low,Yes,No
E1241,58,HR,34,167,22,1,Medium,No,No
E1242,40,Tech,21,210,29,3,Medium,No,Yes
E1243,55,Operations,28,210,26,3,High,No,Yes
E1244,45,Sales,9,193,8,5,Medium,No,No
E1245,55,Operations,17,163,19,2,Medium,Yes,Yes
E1246,45,Finance,34,236,22,4,Medium,No,No
E1247,49,Tech,15,143,46,3,Medium,No,Yes
E1248,38,Sales,6,126,18,2,High,No,No
E1249,38,Finance,29,125,36,5,Low,No,Yes
E1250,22,HR,18,237,44,4,Medium,No,No
E1251,55,Tech,22,204,3,3,Medium,No,Yes
E1252,36,Finance,7,229,12,4,Medium,No,Yes
E1253,56,Finance,16,150,37,5,Medium,No,No
E1254,53,Sales,20,183,11,3,Low,No,Yes
E1255,24,HR,25,195,8,2,Low,No,Yes
E1256,53,Finance,27,175,14,1,Low,No,Yes
E1257,34,Tech,32,182,20,4,High,Yes,Yes
E1258,41,Finance,18,224,14,4,High,Yes,No
E1259,40,Operations,28,157,48,4,Low,No,No
E1260,28,Tech,19,173,4,2,Low,No,No
E1261,27,Tech,19,249,4,5,Low,No,No
E1262,23,Finance,9,121,24,3,Low,No,Yes
E1263,37,Sales,11,159,23,3,Medium,No,No
E1264,53,Tech,32,121,36,1,Low,No,Yes
E1265,32,Operations,24,224,30,5,Medium,No,No
E1266,42,Sales,24,244,45,3,Medium,No,Yes
E1267,42,Sales,3,199,33,3,Low,Yes,No
E1268,50,Sales,3,166,40,5,Medium,No,No
E1269,58,Tech,8,210,13,5,Medium,No,No
E1270,58,Sales,14,220,26,2,Low,No,No
E1271,28,Finance,25,249,46,5,Medium,Yes,No
E1272,47,Sales,14,134,3,4,Low,No,Yes
E1273,47,Operations,25,168,22,1,Low,No,No
E1274,54,HR,27,231,37,2,Low,No,No
E1275,41,Operations,6,154,45,3,High,No,No
E1276,50,Tech,31,235,4,3,Medium,No,No
E1277,53,Sales,11,213,26,4,Medium,No,No
E1278,48,Sales,34,143,42,2,High,No,No
E1279,53,Finance,31,179,13,4,Low,No,No
E1280,25,Sales,8,196,6,4,High,No,No
E1281,39,Operations,13,167,45,3,Medium,No,No
E1282,24,Tech,12,160,44,5,Medium,No,Yes
E1283,55,HR,32,247,17,4,Medium,No,No
E1284,37,Sales,31,150,31,2,Medium,No,Yes
E1285,48,HR,18,143,1,4,High,No,No
E1286,50,Sales,29,128,40,5,High,Yes,No
E1287,49,Tech,15,196,42,2,Low,No,No
E1288,26,Operations,11,239,19,5,Low,No,Yes
E1289,55,Tech,9,209,28,1,Low,Yes,No
E1290,57,HR,1,236,42,3,Low,No,No
E1291,44,Sales,17,229,25,4,Medium,No,No
E1292,49,HR,12,240,37,4,Low,No,No
E1293,51,Operations,28,217,0,4,Medium,No,Yes
E1294,55,Tech,23,134,4,3,Medium,No,No
E1295,53,HR,11,171,13,4,High,No,No
E1296,41,HR,28,174,24,4,Low,No,Yes
E1297,52,Operations,21,156,47,3,Low,No,No
E1298,43,Sales,0,174,8,3,Low,No,No
E1299,53,HR,33,131,29,4,High,No,Yes
E1300,23,Operations,33,156,18,3,Medium,Yes,No
E1301,38,Sales,32,126,39,3,High,No,Yes
E1302,45,Sales,3,174,7,1,High,No,No
E1303,51,Tech,29,147,15,4,High,No,No
E1304,23,Operations,19,156,49,2,Low,No,Yes
E1305,44,Sales,25,194,7,3,Medium,No,No
E1306,52,Tech,14,233,22,2,High,No,No
E1307,42,Finance,6,225,8,1,Low,No,No
E1308,43,Operations,6,229,31,3,Medium,No,No
E1309,22,Finance,28,203,36,3,Medium,No,No
E1310,47,Sales,22,130,33,3,Medium,No,No
E1311,22,Operations,33,185,45,2,High,No,No
E1312,46,Tech,19,132,17,5,Medium,No,Yes
E1313,37,Sales,14,134,44,1,Medium,No,Yes
E1314,53,Operations,32,175,43,4,Medium,No,Yes
E1315,29,Operations,16,172,14,4,Medium,No,Yes
E1316,59,Finance,19,180,14,2,Medium,No,Yes
E1317,49,Sales,12,247,28,3,High,Yes,Yes
E1318,46,Tech,23,161,22,5,High,No,Yes
E1319,55,Tech,6,148,22,3,Medium,No,No
E1320,45,Sales,7,163,0,2,Medium,No,Yes
E1321,44,Sales,22,232,21,3,Low,Yes,Yes
E1322,33,HR,13,225,6,3,Low,No,No
E1323,27,Finance,3,157,44,4,Low,No,No
E1324,56,Sales,20,234,31,5,Medium,Yes,No
E1325,40,Sales,9,249,27,1,Low,No,No
E1326,21,HR,21,228,49,3,Low,No,No
E1327,28,HR,29,203,31,3,Low,No,No
E1328,36,Operations,29,165,32,5,Medium,No,No
E1329,34,Tech,15,211,42,3,Low,No,No
E1330,32,Finance,10,224,12,4,Medium,No,Yes
E1331,43,Operations,21,191,27,3,Medium,No,No
E1332,35,Sales,28,148,8,4,Medium,No,No
E1333,48,HR,24,166,47,3,High,No,No
E1334,54,Tech,13,230,42,5,Low,No,No
E1335,22,Operations,13,126,2,3,High,No,No
E1336,52,Tech,1,236,16,4,Medium,No,Yes
E1337,43,HR,12,183,33,3,Low,No,No
E1338,42,Operations,2,201,31,4,Medium,Yes,No
E1339,45,Operations,29,183,8,3,High,No,No
E1340,42,Tech,17,211,40,1,Medium,No,Yes
E1341,42,HR,20,131,47,3,Low,No,No
E1342,26,Sales,18,131,0,3,High,No,No
E1343,35,Operations,15,155,48,2,Medium,No,No
E1344,57,Sales,27,148,41,2,Medium,No,No
E1345,53,HR,3,204,19,3,High,No,No
E1346,28,Operations,14,193,4,3,Medium,No,No
E1347,25,Operations,0,166,39,3,Low,No,No
E1348,59,Sales,15,200,44,3,Medium,No,No
E1349,24,Finance,19,240,20,2,High,No,Yes
E1350,26,Sales,32,162,4,2,Low,No,No
E1351,52,Sales,16,193,3,4,Low,No,No
E1352,50,Finance,4,172,7,2,Low,No,No
E1353,55,HR,4,158,24,4,Low,Yes,Yes
E1354,36,HR,12,226,6,3,Low,No,No
E1355,33,Operations,29,156,36,5,High,Yes,No
E1356,50,Tech,3,216,41,1,High,Yes,No
E1357,39,Tech,22,168,31,4,Low,No,No
E1358,37,Operations,20,247,16,3,Medium,No,No
E1359,39,Tech,20,129,27,1,Medium,Yes,No
E1360,48,Sales,5,159,5,3,Low,No,No
E1361,46,Sales,23,225,41,3,Low,No,Yes
E1362,57,Finance,30,160,47,3,Low,No,No
E1363,46,Finance,18,121,41,3,Medium,No,No
E1364,43,Operations,11,172,35,5,Medium,No,No
E1365,29,Operations,13,145,1,3,Low,No,No
E1366,32,Operations,11,173,30,3,Low,No,No
E1367,21,Sales,14,170,0,4,High,No,No
E1368,21,Tech,18,233,2,4,Medium,No,No
E1369,54,Operations,27,136,12,1,Medium,No,No
E1370,52,Operations,4,239,30,4,High,No,No
E1371,45,Sales,4,165,28,3,Low,No,No
E1372,21,Sales,5,174,43,2,Medium,Yes,No
E1373,36,Sales,22,169,32,3,Medium,No,Yes
E1374,59,Tech,2,194,9,1,Medium,No,No
E1375,25,Operations,32,130,37,3,High,No,Yes
E1376,42,HR,20,167,8,3,Medium,Yes,No
E1377,49,HR,19,240,0,3,Low,No,Yes
E1378,23,Operations,0,175,43,3,Low,No,No
E1379,32,Operations,16,127,36,4,Medium,No,No
E1380,46,Operations,28,133,31,3,Medium,No,No
E1381,36,Operations,7,233,32,4,Low,No,No
E1382,57,Tech,25,173,1,4,Medium,No,No
E1383,42,HR,27,136,45,4,High,No,No
E1384,49,Finance,33,128,1,4,Low,No,No
E1385,34,HR,25,241,4,2,High,No,Yes
E1386,48,HR,12,233,9,3,Low,No,No
E1387,25,Sales,12,139,37,3,Medium,No,No
E1388,50,Operations,24,202,36,3,Medium,No,No
E1389,25,Operations,22,140,1,2,Medium,No,No
E1390,32,Operations,21,152,40,3,Low,No,No
E1391,36,Sales,20,145,41,5,High,Yes,No
E1392,46,Tech,29,227,39,3,Low,No,No
E1393,46,Tech,10,208,24,3,Medium,No,No
E1394,41,Finance,3,211,37,1,Medium,No,Yes
E1395,59,Tech,32,152,36,4,Medium,No,No
E1396,56,Tech,11,137,17,3,Medium,No,No
E1397,53,Operations,8,137,26,2,Medium,No,No
E1398,50,HR,31,152,19,5,Low,No,No
E1399,57,Tech,10,146,49,4,Medium,No,No
E1400,43,Tech,23,168,33,4,Low,No,No
E1401,30,Sales,6,227,43,5,Low,Yes,No
E1402,25,Finance,7,187,7,3,Medium,No,No
E1403,56,Sales,32,218,3,4,Medium,No,No
E1404,54,Operations,24,138,29,2,Low,No,No
E1405,51,HR,0,144,35,4,Medium,No,No
E1406,30,Finance,2,223,8,1,Medium,No,No
E1407,39,Sales,27,195,40,2,Medium,No,Yes
E1408,52,Tech,32,195,11,3,Medium,No,No
E1409,21,Tech,0,225,13,1,High,No,No
E1410,25,Finance,26,152,34,3,Medium,No,Yes
E1411,24,Tech,34,156,5,3,Medium,No,No
E1412,36,Sales,9,211,46,3,Low,No,Yes
E1413,44,Sales,11,243,22,2,Medium,No,No
E1414,36,Tech,9,162,3,2,Medium,Yes,Yes
E1415,22,Tech,33,245,0,3,Medium,No,No
E1416,48,Operations,23,128,8,4,High,No,No
E1417,52,HR,27,133,47,1,Low,Yes,Yes
E1418,47,Finance,21,188,8,3,Medium,No,No
E1419,40,Sales,15,145,43,4,Low,No,No
E1420,44,Finance,12,246,45,1,Medium,No,No
E1421,32,Operations,22,172,14,3,High,No,No
E1422,55,Sales,13,160,23,3,Medium,No,No
E1423,53,Operations,31,201,47,5,Medium,No,No
E1424,53,Operations,2,221,7,2,Medium,No,No
E1425,57,Tech,26,140,27,3,Low,No,No
E1426,32,Finance,18,240,41,4,Low,No,No
E1427,23,Finance,21,158,45,3,Medium,No,No
E1428,21,Tech,0,188,16,3,Medium,Yes,No
E1429,53,Finance,4,194,34,1,Medium,No,No
E1430,30,Tech,32,181,30,5,Low,No,No
E1431,49,Sales,18,164,3,4,Medium,No,No
E1432,33,Operations,5,146,47,3,High,No,No
E1433,32,Operations,14,235,13,1,Low,No,Yes
E1434,51,Finance,32,160,24,1,Medium,No,No
E1435,22,HR,23,225,45,3,Medium,No,No
E1436,55,Operations,26,193,47,3,High,No,No
E1437,43,Tech,10,179,39,3,Medium,No,No
E1438,37,HR,22,161,49,3,Medium,No,No
E1439,46,HR,32,241,6,4,Medium,No,No
E1440,28,Operations,28,130,30,3,Low,No,No
E1441,49,Operations,30,237,34,3,Medium,Yes,Yes
E1442,46,Operations,0,184,37,4,Medium,No,Yes
E1443,30,Tech,33,166,19,3,Medium,No,No
E1444,46,HR,17,133,15,4,Low,No,No
E1445,54,Finance,17,186,21,2,Low,Yes,No
E1446,27,Tech,5,228,35,4,Low,No,No
E1447,24,Sales,0,129,18,5,Medium,No,No
E1448,31,Operations,29,243,1,3,High,No,No
E1449,49,HR,3,136,3,3,Low,No,No
E1450,56,Tech,31,216,33,1,Low,No,No
E1451,45,Sales,9,176,6,3,High,Yes,No
E1452,41,Tech,4,190,46,3,Medium,Yes,No
E1453,56,Tech,8,216,48,1,High,No,Yes
E1454,30,Finance,4,136,13,4,Low,No,No
E1455,57,Finance,10,195,42,4,High,Yes,No
E1456,29,Tech,34,136,31,5,High,No,No
E1457,44,Sales,26,230,16,3,Low,No,No
E1458,55,HR,3,239,36,3,Low,No,No
E1459,55,HR,9,238,13,4,Low,No,Yes
E1460,56,Operations,32,197,16,3,Low,No,No
E1461,38,Operations,7,122,31,4,High,No,No
E1462,59,HR,23,227,1,3,Medium,No,No
E1463,52,Tech,32,170,38,3,Medium,No,No
E1464,44,Tech,18,233,3,1,High,No,Yes
E1465,43,Finance,1,213,39,1,Medium,No,No
E1466,52,Finance,10,235,29,3,Medium,No,No
E1467,57,Operations,34,224,29,3,Low,No,No
E1468,32,HR,16,218,32,4,Medium,No,No
E1469,33,Tech,2,195,41,3,High,No,No
E1470,43,HR,21,200,0,3,Low,No,No
E1471,45,Sales,34,191,32,3,Medium,No,No
E1472,55,HR,20,230,35,2,Medium,No,Yes
E1473,50,Sales,24,177,48,1,Medium,No,No
E1474,37,Finance,1,197,30,2,Medium,No,No
E1475,40,Finance,0,167,36,3,High,Yes,No
E1476,45,Operations,6,175,13,1,Low,No,Yes
E1477,42,HR,19,161,5,2,Medium,No,No
E1478,33,HR,5,143,6,4,High,No,No
E1479,39,Sales,20,229,39,2,Low,No,No
E1480,56,Finance,34,171,23,2,Medium,No,No
E1481,32,Sales,7,153,49,5,Medium,No,No
E1482,39,Finance,3,122,3,3,Low,No,No
E1483,32,Sales,15,187,24,1,Medium,Yes,No
E1484,29,Finance,2,169,2,1,Medium,No,No
E1485,27,Sales,6,201,27,3,High,No,No
E1486,48,Finance,1,138,22,3,Medium,No,No
E1487,34,Sales,0,163,35,1,High,No,No
E1488,51,HR,0,122,47,2,Low,No,No
E1489,39,Operations,6,232,12,5,Low,No,No
E1490,36,Sales,23,184,21,3,High,No,No
E1491,25,Operations,4,158,24,3,High,No,No
E1492,55,HR,20,183,42,3,Low,No,No
E1493,32,HR,27,223,23,2,Medium,No,No
E1494,45,Finance,17,132,42,3,Medium,No,No
E1495,41,Operations,23,187,36,5,Medium,No,No
E1496,56,Tech,31,189,32,1,High,No,No
E1497,43,Finance,32,194,13,5,Medium,No,Yes
E1498,36,Operations,9,120,23,2,Low,Yes,No
E1499,59,Sales,8,217,21,3,Medium,No,Yes
E1500,59,Sales,32,223,36,1,Low,No,Yes
E1501,34,HR,32,235,22,3,Medium,No,No
E1502,51,Tech,6,232,5,3,Medium,No,No
E1503,25,Sales,3,222,18,4,High,No,No
E1504,55,Operations,27,156,11,3,High,No,No
E1505,43,Operations,22,225,25,3,Low,No,No
E1506,49,Sales,31,227,28,4,Medium,No,No
E1507,31,Operations,15,140,13,1,Medium,No,No
E1508,38,Operations,9,248,16,3,Low,No,No
E1509,32,HR,13,147,29,2,Medium,No,Yes
E1510,29,Tech,33,227,6,3,High,No,Yes
E1511,30,HR,23,128,20,4,Medium,No,No
E1512,37,Tech,17,151,0,2,Medium,No,Yes
E1513,58,Operations,15,185,48,5,Medium,No,Yes
E1514,27,Tech,24,219,37,4,Medium,No,Yes
E1515,33,Operations,7,140,3,3,Medium,Yes,No
E1516,29,Operations,23,201,45,1,High,No,No
E1517,47,HR,19,143,7,4,Low,No,No
E1518,22,HR,29,230,17,4,Low,No,No
E1519,25,Finance,19,211,44,2,Medium,No,No
E1520,49,Sales,17,131,7,5,Medium,No,No
E1521,57,Finance,3,142,30,5,Medium,No,No
E1522,58,Finance,5,211,30,3,Low,No,No
E1523,39,Tech,2,242,27,4,Medium,No,No
E1524,28,Operations,17,153,47,3,Medium,Yes,No
E1525,21,Operations,17,244,36,3,Low,No,No
E1526,42,Operations,22,176,2,3,Medium,Yes,No
E1527,37,Sales,34,122,44,2,Low,No,No
E1528,27,Tech,5,125,14,4,Low,No,Yes
E1529,45,Tech,25,167,3,1,Medium,No,No
E1530,24,Operations,20,221,34,3,Medium,Yes,No
E1531,56,Finance,23,239,33,4,Medium,No,Yes
E1532,26,Sales,14,132,35,2,Medium,No,No
E1533,51,Finance,26,155,5,3,Low,No,No
E1534,39,HR,31,189,3,3,Medium,No,No
E1535,59,Tech,11,152,48,2,Medium,No,No
E1536,47,Tech,4,224,29,4,Low,No,No
